"","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","n","cat","var","tag"
"1","All LMICs (National samples)","(Intercept)",78.4,0.037855271843754,20.7210973859333,3.20469674276066e-05,67.9,89,4,"take_vaccine_num",6524,"All","All","All LMICs
(National samples)"
"2","All LMICs (National samples)","(Intercept)",75.5,0.0430748320251624,17.5366550424891,6.20880249252689e-05,63.6,87.5,4,"take_vaccine_num",2307,"Female","By gender","All LMICs
(National samples)"
"3","All LMICs (National samples)","(Intercept)",80.3,0.0363046235039039,22.1221726289215,2.47142287605595e-05,70.2,90.4,4,"take_vaccine_num",4217,"Male","By gender","All LMICs
(National samples)"
"4","All LMICs (National samples)","(Intercept)",74.7,0.0454146210446775,16.4445772216655,8.00624830327983e-05,62.1,87.3,4,"take_vaccine_num",1632,"More than Secondary","By education","All LMICs
(National samples)"
"5","All LMICs (National samples)","(Intercept)",79.8,0.0361902738527474,22.0604508682327,2.49900854112052e-05,69.8,89.9,4,"take_vaccine_num",4859,"Up to Secondary","By education","All LMICs
(National samples)"
"6","All LMICs (National samples)","(Intercept)",77.4,0.0423025713197414,18.2997791756629,5.24531084241493e-05,65.7,89.2,4,"take_vaccine_num",3811,"$25-54$","By age","All LMICs
(National samples)"
"7","All LMICs (National samples)","(Intercept)",74.4,0.0460083477526277,16.1790900851911,8.53796378564073e-05,61.7,87.2,4,"take_vaccine_num",636,"$55 +$","By age","All LMICs
(National samples)"
"8","All LMICs (National samples)","(Intercept)",80.1,0.0239138527491932,33.4897852511049,4.74159791754802e-06,73.4,86.7,4,"take_vaccine_num",875,"$< 25$","By age","All LMICs
(National samples)"
"9","All","(Intercept)",80.3,0.0244277033457834,32.8534532656891,4.00565194158729e-13,74.9,85.6,12,"take_vaccine_num",20176,"All","All","All LMICs"
"10","Burkina Faso","(Intercept)",66.5,0.0151873166888483,43.7699153141003,1.9828418276594e-232,63.5,69.5,976,"take_vaccine_num",977,"All","All","Burkina Faso
(National, 977)"
"11","Colombia","(Intercept)",74.9,0.013736189293453,54.5563989334721,1.64356619775329e-303,72.2,77.6,1011,"take_vaccine_num",1012,"All","All","Colombia
(National, 1012)"
"12","India","(Intercept)",84.3,0.010194133183813,82.684115017484,2.34058509775955e-121,82.3,86.3,141,"take_vaccine_num",1680,"All","All","India
(Subnational, Slums in 2 cities, 1680)"
"13","Mozambique","(Intercept)",89.1,0.0133698799254501,66.638689432515,1.1769886802283e-119,86.5,91.7,162,"take_vaccine_num",862,"All","All","Mozambique
(Subnational, 2 cities, 862)"
"14","Nepal","(Intercept)",96.6,0.00536660669517793,179.913999368651,8.32946950120609e-116,95.5,97.6,89,"take_vaccine_num",1389,"All","All","Nepal
(Subnational, 2 districts, 1389)"
"15","Nigeria","(Intercept)",76.2,0.00985138855820315,77.3812371047136,0,74.3,78.2,1867,"take_vaccine_num",1868,"All","All","Nigeria
(Subnational, 1 state, 1868)"
"16","Pakistan 1","(Intercept)",76.1,0.0309115152728748,24.6264910167254,1.98926596030009e-45,70,82.3,105,"take_vaccine_num",1633,"All","All","Pakistan 1
(Subnational, 2 districts, 1633)"
"17","Pakistan 2","(Intercept)",66.5,0.01222455878728,54.3888223810736,0,64.1,68.9,1491,"take_vaccine_num",1492,"All","All","Pakistan 2
(Subnational, 1 province, 1492)"
"18","Russia","(Intercept)",30.4,0.00664152311680478,45.8063873383111,0,29.1,31.7,22124,"take_vaccine_num",22125,"All","All","Russia
(Subnational, 61 regions, 22125)"
"19","Rwanda","(Intercept)",84.9,0.00978841228550327,86.6955404539919,0,82.9,86.8,1354,"take_vaccine_num",1355,"All","All","Rwanda
(National, 1355)"
"20","Sierra Leone 1","(Intercept)",78,0.01271306164061,61.3629268332046,0,75.5,80.5,1069,"take_vaccine_num",1070,"All","All","Sierra Leone 1
(National, 1070)"
"21","Sierra Leone 2","(Intercept)",87.9,0.00867405327491886,101.353645356704,2.40940466735841e-167,86.2,89.6,190,"take_vaccine_num",2110,"All","All","Sierra Leone 2
(National, 2110)"
"22","USA","(Intercept)",64.6,0.0139254617826589,46.359381325091,2.63298056860492e-317,61.8,67.3,1958,"take_vaccine_num",1959,"All","All","USA
(National, 1959)"
"23","Uganda 1","(Intercept)",85.8,0.00693722129997693,123.697966298174,0,84.4,87.2,497,"take_vaccine_num",3362,"All","All","Uganda 1
(Subnational, 13 districts, 3362)"
"24","Uganda 2","(Intercept)",76.5,0.0111280625275299,68.7457784094625,2.57144089396628e-189,74.3,78.7,309,"take_vaccine_num",1366,"All","All","Uganda 2
(Subnational, 1 district, 1366)"
