"","var","m","tag","estimate","source","group","term","std.error","statistic","p.value","conf.low","conf.high","df","outcome","n","cat"
"1","All","Leaving 1 out","All",0.806962525870568,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","All","Leaving 1 out","All",0.81401664733708,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","All","Leaving 1 out","All",0.799171204390882,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","All","Leaving 1 out","All",0.795166338105285,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","All","Leaving 1 out","All",0.805975431682019,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","All","Leaving 1 out","All",0.814005664733091,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","All","Leaving 1 out","All",0.796150034494449,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","All","Leaving 1 out","All",0.805661667726778,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","All","Leaving 1 out","All",0.79790226389978,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","All","Leaving 1 out","All",0.798694636673903,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","All","Leaving 1 out","All",0.80440305517379,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","All","Leaving 1 out","All",0.805886224960967,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","All","Leaving 1 out","All",0.788951638316433,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","All","Leaving 2 out","All",0.819891158647846,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","All","Leaving 2 out","All",0.803696129979225,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","All","Leaving 2 out","All",0.799327184940326,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","All","Leaving 2 out","All",0.811118923387631,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","All","Leaving 2 out","All",0.819879177625211,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","All","Leaving 2 out","All",0.80040030827404,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","All","Leaving 2 out","All",0.810776635436517,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","All","Leaving 2 out","All",0.802311831261642,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","All","Leaving 2 out","All",0.803176237924302,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","All","Leaving 2 out","All",0.809403603560556,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","All","Leaving 2 out","All",0.811021606964801,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","All","Leaving 2 out","All",0.792547512443414,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","All","Leaving 2 out","All",0.811391535215604,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","All","Leaving 2 out","All",0.807022590176657,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","All","Leaving 2 out","All",0.818814328624093,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","All","Leaving 2 out","All",0.827574582861525,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","All","Leaving 2 out","All",0.808095713510391,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","All","Leaving 2 out","All",0.818472040672818,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","All","Leaving 2 out","All",0.810007236497978,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","All","Leaving 2 out","All",0.810871643160625,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","All","Leaving 2 out","All",0.817099008796924,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","All","Leaving 2 out","All",0.818717012201122,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","All","Leaving 2 out","All",0.80024291767973,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","All","Leaving 2 out","All",0.790827561507995,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","All","Leaving 2 out","All",0.802619299955479,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","All","Leaving 2 out","All",0.811379554192964,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","All","Leaving 2 out","All",0.79190068484182,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","All","Leaving 2 out","All",0.802277012004233,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","All","Leaving 2 out","All",0.793812207829384,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","All","Leaving 2 out","All",0.794676614492097,"loo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
