"","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","n","n_sub","tag","name"
"1","All","(Intercept)",40.8,0.0686879934369067,5.94097362257337,0.000217751546993672,25.3,56.3,9,"no_vaccine_1",2592,105754,"Concerned about side effects","All"
"2","Burkina Faso","(Intercept)",40.9,0.0274717939798493,14.9026950760773,1.29188428986294e-38,35.5,46.3,324,"no_vaccine_1",325,13292,"Concerned about side effects","Burkina Faso
(n=325)"
"3","Colombia","(Intercept)",31,0.0333950109482978,9.29212402537958,2.55797361003095e-17,24.4,37.6,201,"no_vaccine_1",202,6262,"Concerned about side effects","Colombia
(n=202)"
"4","Nepal","(Intercept)",9.3,0.0438989519735587,2.11407599472966,0.042394246188493,0.3,18.2,32,"no_vaccine_1",48,446,"Concerned about side effects","Nepal
(n=48)"
"5","Nigeria","(Intercept)",21.5,0.0203012958964482,10.5724357418491,2.94039839840793e-23,17.5,25.5,409,"no_vaccine_1",410,8815,"Concerned about side effects","Nigeria
(n=410)"
"6","Pakistan 1","(Intercept)",23,0.0392593718141709,5.84663514303065,1.07646100041652e-07,15.1,30.8,79,"no_vaccine_1",441,10143,"Concerned about side effects","Pakistan 1
(n=441)"
"7","Russia","(Intercept)",36.8,0.00811532515247112,45.3918803699776,0,35.2,38.4,16237,"no_vaccine_1",16238,597558,"Concerned about side effects","Russia
(n=16238)"
"8","Rwanda","(Intercept)",38.6,0.0586250854247842,6.57938136691653,7.62805288499672e-09,26.9,50.3,69,"no_vaccine_1",70,2702,"Concerned about side effects","Rwanda
(n=70)"
"9","Sierra Leone 1","(Intercept)",53.5,0.0327228050132858,16.3501836919969,1.53473464358367e-40,47.1,59.9,233,"no_vaccine_1",234,12519,"Concerned about side effects","Sierra Leone 1
(n=234)"
"10","Sierra Leone 2","(Intercept)",57.9,0.0393248741461982,14.7168978933977,2.18721087656841e-28,50.1,65.7,117,"no_vaccine_1",254,14707,"Concerned about side effects","Sierra Leone 2
(n=254)"
"11","USA","(Intercept)",79.3,0.0239648714198632,33.1059808117247,6.39519322862202e-124,74.6,84,461,"no_vaccine_1",462,36637,"Concerned about side effects","USA
(n=462)"
