"","country","Effectiveness","Safety","Important","BCG","DTP1","MCV1","Coverage"
"1","Burkina Faso",87,72,95,98,95,88,97
"2","Colombia",83,84,99,89,92,95,95
"3","India",96,97,98,92,94,95,92
"4","Mozambique",87,93,98,94,93,87,95
"5","Nepal",89,93,99,96,96,92,95
"6","Nigeria",82,92,96,67,65,54,95
"7","Pakistan",91,92,95,88,86,75,94
"8","Rwanda",99,97,99,98,99,96,100
"9","Sierra Leone",95,95,99,86,95,93,97
"10","Uganda",82,87,98,88,99,87,98
"11","Russia",67,48,80,96,97,98,96
"12","USA",85,73,87,NA,97,90,95
